input_index,input_x,input_y,polygon_index,tree_top_x,tree_top_y,tree_height,centre_x,centre_y
150,621430.3344399558,7741217.48666416,150,621431.1512784587,7741216.430325073,246.0,621430.3491129528,7741217.420715635
151,621434.2682738451,7741215.116376384,151,621435.3997307807,7741216.771983826,205.0,621434.4201808132,7741216.343624849
152,621436.9925833672,7741216.350412794,152,621437.7764873245,7741214.9151427755,231.0,621438.2594159467,7741215.26619372
153,621441.9038517927,7741215.414312752,153,621441.594152523,7741214.068423258,221.0,621442.1807869176,7741214.169735779
154,621445.8188635798,7741214.333220092,154,621446.065425771,7741213.593071949,229.0,621445.7981447714,7741212.963107347
155,621450.6894845155,7741211.484666205,155,621450.2098949943,7741213.444524665,216.0,621449.7611007619,7741212.067430971
156,621454.993745809,7741210.494889465,156,621454.7851513411,7741210.161629689,255.0,621453.7983516508,7741210.918753834
157,621458.5881930528,7741210.847904155,157,621457.3401646258,7741210.325031701,238.0,621457.4347335587,7741209.747325192
158,621461.1028162339,7741208.67099357,158,621461.7371642318,7741207.294667108,230.0,621461.4035643659,7741208.483212378
159,621466.6244502686,7741207.379541394,159,621464.9606402945,7741207.948275157,236.0,621465.218605081,7741207.343151784
160,621472.7655503376,7741204.112658195,160,621473.8734773338,7741205.1555862175,205.0,621472.7745859288,7741204.807867618
161,621477.7234953613,7741204.4853419345,161,621475.9382845812,7741203.684968106,236.0,621476.6771195551,7741203.436649972
162,621479.8046901802,7741203.515552525,162,621480.6323787553,7741201.352775748,248.0,621480.212209861,7741202.177050498
163,621484.144204599,7741199.65355345,163,621484.5985912377,7741200.803150797,237.0,621484.3373685378,7741200.820260017
164,621487.6426617976,7741199.313059538,164,621487.5398274608,7741200.149542748,248.0,621488.1164697552,7741199.495920214
165,621491.0779896739,7741198.014887157,165,621492.1893574496,7741198.782907735,234.0,621492.0449205913,7741197.994926361
166,621494.5478841774,7741195.484688866,166,621495.858475364,7741196.554698475,232.0,621495.469313258,7741196.6012096675
167,621498.1928894769,7741195.459030139,167,621500.3297486121,7741194.965242536,232.0,621499.4040201596,7741194.7895317
168,621502.1709531924,7741194.61730064,168,621502.9590355387,7741193.108401487,236.0,621503.2046965447,7741193.575409091
169,621507.991934688,7741191.936343927,169,621506.7321365521,7741191.400107721,227.0,621506.8435380028,7741191.93096079
170,621510.9266611408,7741189.144908307,170,621509.7327916886,7741190.538533474,223.0,621510.7083494139,7741190.25224052
171,621513.4240141716,7741189.878135284,171,621514.9170918998,7741187.448749967,241.0,621514.505900564,7741188.459631081
172,621517.646725925,7741187.062174198,172,621519.061561123,7741186.512902078,228.0,621518.1591119309,7741186.791183858
173,621364.1447024018,7741238.747580055,173,621362.4630143421,7741239.054076424,209.0,621363.1005380786,7741238.4750251435
174,621367.5448936359,7741237.255184092,174,621366.3549531827,7741239.484863548,207.0,621366.3465824088,7741238.497241163
175,621368.7673024734,7741238.3022357905,175,621369.5635745168,7741238.489596745,219.0,621369.3498300767,7741237.987880355
176,621374.8187651946,7741238.473075257,176,621373.7674626538,7741235.949438189,221.0,621373.3428482459,7741237.10707448
177,621378.4166754792,7741235.82053422,177,621377.1989049139,7741237.048688091,230.0,621377.3290131766,7741236.672195403
